antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Noida Greater Noida Expressway', 'Noida', 'Apartment'})",frozenset({'Under_50L'}),0.027874564459930314,0.2578397212543554,0.027874564459930314,1.0,3.8783783783783785,1.0,0.02068739452949532,inf,0.7634408602150538,0.10810810810810811,1.0,0.5540540540540541
"frozenset({'Noida', 'Apartment'})",frozenset({'Under_50L'}),0.03484320557491289,0.2578397212543554,0.03484320557491289,1.0,3.8783783783783785,1.0,0.025859243161869147,inf,0.7689530685920577,0.13513513513513514,1.0,0.5675675675675675
frozenset({'Residential land / Plot'}),frozenset({'0BHK'}),0.16376306620209058,0.2578397212543554,0.16376306620209058,1.0,3.8783783783783785,1.0,0.121538442860785,inf,0.8875000000000001,0.6351351351351351,1.0,0.8175675675675675
"frozenset({'Residential land / Plot', 'Under_50L'})",frozenset({'0BHK'}),0.06968641114982578,0.2578397212543554,0.06968641114982578,1.0,3.8783783783783785,1.0,0.051718486323738294,inf,0.797752808988764,0.2702702702702703,1.0,0.6351351351351351
"frozenset({'Hyderabad', 'Residential land / Plot'})",frozenset({'0BHK'}),0.027874564459930314,0.2578397212543554,0.027874564459930314,1.0,3.8783783783783785,1.0,0.02068739452949532,inf,0.7634408602150538,0.10810810810810811,1.0,0.5540540540540541
"frozenset({'Chennai', 'Under_50L'})",frozenset({'0BHK'}),0.024390243902439025,0.2578397212543554,0.024390243902439025,1.0,3.8783783783783785,1.0,0.018101470213308407,inf,0.7607142857142858,0.0945945945945946,1.0,0.5472972972972973
"frozenset({'Chennai', 'Land'})",frozenset({'0BHK'}),0.027874564459930314,0.2578397212543554,0.027874564459930314,1.0,3.8783783783783785,1.0,0.02068739452949532,inf,0.7634408602150538,0.10810810810810811,1.0,0.5540540540540541
"frozenset({'50L_1Cr', 'Residential land / Plot'})",frozenset({'0BHK'}),0.024390243902439025,0.2578397212543554,0.024390243902439025,1.0,3.8783783783783785,1.0,0.018101470213308407,inf,0.7607142857142858,0.0945945945945946,1.0,0.5472972972972973
"frozenset({'Above_2Cr', 'Residential land / Plot'})",frozenset({'0BHK'}),0.03832752613240418,0.2578397212543554,0.03832752613240418,1.0,3.8783783783783785,1.0,0.028445167478056064,inf,0.7717391304347827,0.14864864864864866,1.0,0.5743243243243243
frozenset({'Noida Greater Noida Expressway'}),frozenset({'Under_50L'}),0.027874564459930314,0.2578397212543554,0.027874564459930314,1.0,3.8783783783783785,1.0,0.02068739452949532,inf,0.7634408602150538,0.10810810810810811,1.0,0.5540540540540541
